,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
to,-0.48237973,0.38868925,-0.4169245,0.08214331,0.77317226,-0.07381076,0.45099977,-0.4761501,-0.084709,-0.0426969,0.6967871,0.6303969,0.817963,-0.58215684,0.62169117,-0.12253955,0.56513685,0.24804409,0.15394971,0.889213,-0.23413073,0.052095447,-0.22586149,-0.11576616,-0.04192208,-0.3879792,-0.28040808,-0.77906877,0.19702387,-1.1027242,0.34402072,0.38898277,0.67879355,0.845801,0.47042948,0.07043979,0.015453859,0.59737307,-0.1725421,-0.017059917,0.044872046,-0.09061145,-0.20513578,0.15889789,-0.36319023,-0.46918777,-0.29288515,0.18662423,-0.32975376,0.07245008,-0.33509192,-0.057027467,1.2103826,0.52327126,-0.018337464,0.5085692,-0.048985075,-0.19153044,0.7221612,-0.5784835,0.064408354,0.39837405,0.70807976,0.24939848,-0.27185956,0.2935242,-0.15357454,0.48853073,0.7915013,0.13639778,-0.2303083,0.07028384,-0.3502421,0.07837652,-0.87070465,0.6826564,0.07944631,0.17803854,-0.3026049,-0.40886658,0.18521489,-0.06058605,-0.54693556,0.8077615,0.043796968,-0.53875756,0.62685955,0.17728949,-0.18787232,-0.29358906,-0.7465893,-0.30935907,-0.72609526,0.4195225,-0.54284513,-0.607665,-0.008038104,-0.784021,0.2270892,-0.26851866
native,0.13013883,-0.39720464,-0.007623041,-0.077978946,-0.12298556,0.39259228,-0.0032201724,-0.021271182,0.027826477,0.2644314,-0.050517913,-0.10485547,-0.18620487,0.35474902,-0.08388153,0.05057276,0.21280514,0.059857383,0.13200085,0.27148247,0.23585454,-0.11317119,-0.42208117,-0.008828896,-0.5021575,-0.50494266,-0.0072001508,0.18483658,-0.102265924,-0.5001719,0.08945905,-0.2012479,-0.23996742,-0.042187624,-0.024087515,0.02224612,0.08524528,0.42981717,0.23681255,0.14189872,0.0111552775,0.095118,-0.12859522,-0.006056864,-0.21529776,0.3503875,0.19204102,-0.15521294,-0.23094818,-0.04076465,-0.06993926,-0.0064857006,0.043192916,-0.19898818,0.26856932,-0.11562755,0.1881102,-0.4785767,0.16051927,-0.09821748,0.002927514,0.009667099,0.26597577,0.044857588,-0.0036631702,-0.072921395,-0.3732769,-0.20185369,0.31981814,0.29400063,-0.16790473,0.27151662,-0.031805743,-0.07806304,0.19469008,-0.10582869,-0.2811277,-0.18156864,-0.19308962,-0.11511088,0.14352153,-0.27141973,-0.072933145,-0.03185552,0.07131607,0.006236146,0.1627497,0.12365762,-0.37886706,-0.13663694,0.007645512,-0.52031,-0.033461135,0.12146223,-0.060612753,0.15914005,-0.090540774,0.042779185,-0.21811421,-0.6165701
fix,-0.38345706,0.6644771,0.19247045,0.9758634,0.4259069,0.48270425,-1.0454956,-0.32690683,0.17670137,0.9624496,-0.043717958,-0.14381966,0.55924106,-0.19666861,0.19472568,0.46377563,-0.12286572,0.22826423,-0.08258912,0.4283905,0.122029975,-0.095448025,-0.27386105,-1.1198547,0.9332873,0.42493844,-0.4274934,0.17015891,-0.12978509,-0.82036567,-0.36960942,0.31567338,0.2601838,0.115867764,0.2754444,-0.22725855,-0.24933009,0.8284518,0.7738392,-0.2966902,-0.57346576,0.023297984,0.08401925,0.006593968,0.27205536,0.0532835,-0.04910698,0.64436233,0.8065944,0.18507564,-0.29699183,0.06857254,0.23402105,1.0750182,-0.44447818,-0.024682466,0.12140986,0.7646824,0.33032966,0.3003922,0.14398184,-0.14857376,0.21860343,-0.16231404,-0.3860821,-0.5998068,-0.3345457,0.56539285,-0.18673564,-0.08974924,-0.5493165,0.023916965,0.05692054,0.37155622,0.31395772,0.71398795,-0.5433492,-0.13992368,-0.05139824,0.35744196,-0.6588818,0.07971635,0.12940104,0.15345955,0.4880088,-0.2805399,0.08575095,-0.017594425,-0.10730515,-0.2424249,-1.1685325,-0.6046333,0.859327,0.89903057,-0.33509034,0.24143644,-0.35027874,-0.032507837,-0.24760474,-0.28870434
fixed,-0.30725807,0.5022859,0.35886484,0.1897211,0.12395155,-0.31315225,0.23908345,-0.08927821,0.15966369,-0.1077653,0.12449887,-0.20977683,-0.08821201,-0.29225957,-0.18216524,-0.24625902,0.04784826,0.15650277,-0.23281707,0.51053244,-0.51191044,0.09704695,0.20135295,-0.35208008,-0.20160386,-0.048614055,-0.35013676,-0.23328716,-0.42031872,-0.599988,0.003036499,-0.011652193,0.34766024,0.21585095,0.25038585,-0.1695669,-0.18554036,0.5558432,0.25514194,-0.16877776,0.1084969,0.5324955,0.121793434,-0.42816016,-0.082226604,0.07206693,0.12709132,0.043411404,0.49445304,-0.01866025,0.27412578,-0.45151952,-0.09944745,0.49743786,0.004183188,0.36787605,0.10925591,-0.0059467014,0.67175925,-0.4219734,0.15864345,-0.44776517,-0.15364297,0.039494224,-0.16707699,-0.23588052,0.019081421,-0.39620215,0.62499416,0.26594058,0.4691146,-0.28295532,0.14673942,0.55315864,0.05770873,0.8512375,0.25710425,0.084938556,-0.50146925,0.26714596,-0.13117406,0.16316995,0.15726615,0.27145916,0.12923735,-0.41516027,-0.07709147,-0.017087428,0.13445126,0.14126314,-0.7382367,-0.1558847,0.51789737,0.42602348,-0.37365973,-0.052719373,-0.26662785,-0.1203427,-0.043029547,-0.11058697
a,-0.24426764,0.066341415,-0.36644426,0.5116909,0.42582974,-0.37846002,-0.027685346,0.23601277,-0.050840333,-0.038743954,0.19973722,0.02253053,0.12175465,-0.18606958,0.3378406,-0.33092463,-0.084805414,-0.10710317,-0.22788408,0.32035398,-0.07040551,-0.47437963,-0.126198,-0.8278233,0.50221026,-0.04088383,0.07935568,-0.098342806,0.049460288,-0.61196536,0.27631572,0.09013198,-0.013951329,0.6320704,0.45311376,-0.1449435,0.12116586,0.33002016,0.2849883,-0.36335698,0.16500011,0.0036483095,0.6294407,-0.15876159,-0.075545706,-0.16204965,-0.08351485,0.2229161,-0.23296161,0.045369748,0.112085015,0.0976364,0.049967766,0.5511523,0.50435925,-0.2531366,0.05057431,0.041295595,0.34779438,-0.58991015,0.027027093,-0.1040312,0.029537028,-0.031061413,-0.14299072,-0.60017604,-0.3674482,0.3093154,0.39450437,0.098254025,0.13491215,-0.31169924,-0.22364403,0.32631606,-0.20313992,0.5442568,-0.04663201,0.041607793,0.018318398,-0.043934006,-0.23172475,-0.15747042,0.06542166,0.16517453,0.25231162,0.1256823,-0.20207922,-0.14001834,-0.14391823,-0.28551713,-0.28827763,-0.03849497,0.3313284,0.1094415,-0.044383924,0.25497594,0.25425273,-0.17844506,-0.28544515,0.17669474
http,0.16838896,-0.5642791,0.061322134,-0.106351905,-0.23978394,0.003141359,0.27736512,-0.021104867,-0.054212227,0.20212607,-0.34886727,-0.57175094,0.20966041,-0.016139314,0.2710171,0.4786926,-0.54899144,-0.3315384,0.1939327,-0.45437777,-0.153774,-0.07424152,0.2870067,0.57356715,-0.40848985,0.10014634,-0.14743698,0.017138071,0.34029615,0.5660866,-0.09187932,-0.13050023,0.010997508,0.0048519787,-0.15562959,0.0076482194,0.31457472,0.004324551,-0.38409105,0.26812652,-0.19337341,-0.24924248,-0.4870216,0.18143359,0.5465671,0.031803012,-0.43750033,-0.2602024,-0.3217916,0.34906673,0.42035976,0.2948185,-0.120497055,-0.22955438,0.20097218,-0.55067325,-0.7605294,-0.0060112746,-0.6940932,0.31791866,0.3251251,0.11976335,-0.30535412,0.11681118,0.16751835,0.31502774,-0.014953809,-0.007164861,0.27574033,-0.022444414,-0.37978107,-0.14590545,0.12117365,0.2705238,0.17364644,-0.7496382,0.45496178,-0.4766283,-0.22494276,-0.3295555,0.33886528,0.019040283,0.9718835,-0.11921233,-0.19092867,0.4397786,0.26029265,-0.09279658,-0.34504017,0.4303193,0.1548348,0.010205176,-0.43183562,0.18582721,0.120477915,0.67220896,-0.28032383,0.6930912,0.36753267,0.048743457
link,-0.063133135,0.6950717,-0.3144493,0.93484527,0.21750602,0.020758457,0.09768473,0.26607415,0.05252842,0.06670675,-0.5073432,0.17635939,0.14509462,-0.2574403,0.52531636,-0.46793357,-0.11547239,0.04762394,-0.25675255,0.22067699,-0.48839027,-0.3431387,-0.30613378,-0.69476146,0.4846388,0.14717358,-0.0057646297,-0.21222495,-0.026861316,-0.5489814,0.05729527,-0.02933213,0.034372203,0.20118079,0.18140805,-0.25377643,-0.013346554,0.50239056,0.36453918,-0.23033033,-0.10473631,0.20127678,0.021164395,-0.27688995,0.1495603,-0.13488315,-0.15385228,-0.038855366,-0.24694555,0.27805462,0.2664554,0.43834352,0.09194115,0.72975487,0.6747513,-0.051081635,0.06531452,0.1874604,0.3192387,-0.6042514,0.13323231,-0.18727775,-0.13656338,0.1570357,-0.3421063,-0.24412893,-0.08743263,0.5887426,0.7891889,0.10315069,-0.13432464,-0.07618555,-0.18089278,0.19376756,-0.4770898,0.6059905,-0.07990618,0.056077518,-0.41636324,0.29449657,-0.086002536,-0.5334571,0.21119699,0.0004313297,0.24465182,0.24884,-0.41321898,-0.023668107,0.08793384,0.10980919,-0.12081205,-0.174735,0.6271733,0.016918767,-0.077121645,-0.14238825,-0.014089964,-0.056705125,-0.24670598,-0.12185309
import,0.16565377,-0.61149234,0.3806233,-0.11209532,0.16251135,0.059684835,0.33902538,-0.09098915,-0.24283402,0.4089664,-0.1164754,-0.0018275371,0.009896549,-0.3913324,0.42439148,-0.58421767,0.02193178,0.12104864,-0.4109329,0.6529707,0.28360078,-0.31306812,-0.08847778,0.005734601,0.05871143,0.1991333,-0.18748231,-0.43278095,0.08200896,-0.4349843,-0.36218968,0.050637994,-0.29129684,0.18477038,0.24220558,-0.09190103,-0.108724736,0.1957075,0.047938365,0.07390087,-0.0049012327,0.4335859,-0.24844404,-0.04348526,0.21541893,-0.092741214,-0.20560208,0.21022359,0.105636775,-0.4992491,0.6851793,0.052987054,0.020301657,0.21255615,0.21216725,-0.37026536,-0.40139452,0.09430866,-0.060566474,-0.31019437,-0.4028509,-0.25379327,-0.039793395,0.0036994861,-0.48987746,-0.3225714,-0.30243433,0.41719067,0.024744388,-0.044294942,-0.4023276,-0.0051803812,0.32077655,-0.00059799734,-0.06464373,-0.04213161,0.23935747,-0.13897063,-0.7855297,0.011789089,0.40398896,-0.027853219,0.28351513,0.11313072,-0.13768622,0.26568773,0.23711886,0.34309345,-0.32651362,0.2242387,-0.070443064,-0.024422368,0.1932797,0.25897762,-0.0162675,-0.36833048,-0.41439104,0.51128876,-0.094153784,-0.25785914
bug,0.71040994,0.6614921,0.16383643,0.24460346,0.33495232,-0.004085366,-0.08522102,-0.30286115,-0.16310187,0.025624672,0.34754646,-0.23353381,-0.6038603,0.14350034,-0.695,-0.7929525,-0.90330935,0.19186589,0.2812667,-0.00760414,-0.48564598,0.19360471,0.46347493,0.14483222,0.9872748,-0.6020301,0.23636945,0.56990904,0.4703984,-0.31724715,-0.46286723,0.30331287,0.20489866,-0.6285072,-0.17268844,0.35526237,0.15185902,-0.49461988,0.19402857,-0.25100714,-0.648317,-0.02590402,0.2555617,0.1465837,0.13239613,-0.5281227,-0.07752547,0.52470857,-0.4590882,0.15228975,-0.037225,0.139585,0.047667798,-0.28030974,-0.24535578,-0.2559534,-0.32963836,0.15107347,-0.05078577,0.08404957,-0.2695128,-0.4911726,-0.1338474,0.4876829,-0.1272004,0.51555884,-0.581975,0.24867809,-0.4315323,-0.11694471,0.020950263,0.46655944,0.5962362,-0.7722936,-0.15919898,0.18745029,0.22702685,-0.3593875,1.2522271,-0.22750238,0.4748352,-0.81656677,-0.6004994,-0.11819137,-0.12087781,-0.030876432,0.58555675,-0.3279358,0.14834166,0.39813295,0.52764046,-0.42288247,0.26905885,-0.40019453,0.43269515,-0.12730928,0.15162058,-0.18169938,-0.115163624,0.5839788
cleanup,-0.25935176,-0.15824929,0.09609417,-0.018612029,0.099554054,0.0020103708,0.2292648,-0.40374267,-0.23277728,-0.09034945,0.10829124,0.1625016,-0.16846745,0.039212357,0.17354928,-0.074496396,0.110427186,-0.14915901,-0.42531744,0.18536425,-0.07821392,0.05182559,-0.013567524,-0.16209155,0.07721086,-0.033661615,0.013784005,-0.21983582,-0.080614366,-0.059365246,-0.011080704,0.1427953,0.035073612,0.30573428,-0.0699512,0.03826037,-0.025371538,0.18342175,0.31095806,-0.1956357,0.14319776,0.12877393,0.29394773,-0.32564226,0.112673946,0.1539692,-0.02068268,-0.022817766,-0.004205289,0.049164873,0.11837548,-0.093568884,0.025562387,0.040014375,0.10795028,0.13294409,0.028812142,-0.098417126,0.13389198,-0.19711883,-0.010191905,-0.083373904,-0.07951913,-0.045751818,-0.04774536,-0.1323212,0.03268727,-0.1740896,0.18127842,0.22401857,0.25671822,-0.19766,0.22470884,0.26653636,-0.16876158,0.13724798,-0.21134366,-0.05213413,-0.08964336,-0.02933518,-0.25124982,-0.023644537,0.13004267,-0.03100359,0.14370474,-0.43212324,-0.07900751,-0.05940894,0.055603273,-0.0013219496,0.06762836,-0.080335215,0.09557172,0.043118425,-0.08363312,-0.017741451,-0.16165935,-0.27756822,-0.15106137,-0.18201116
